ID,Year_Birth,Education,Marital_Status,Income,Children,Wines_Products,Fruits_Products,Meat_Products,Fish_Products,Sweet_Products,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb,Deals_Claimed
775,1948,PhD,Together,46681,2,269,15,69,15,19,6,4,4,2
776,1964,Master,Married,79143,0,650,37,780,27,167,9,13,6,1
777,1975,Secondary,Single,49514,1,88,39,78,58,13,1,4,6,2
778,1975,Graduate,Married,79205,0,504,23,117,179,28,5,4,6,1
779,1967,PhD,Married,77766,1,1004,59,265,115,59,10,11,11,2
780,1962,PhD,Together,56067,1,517,12,54,16,6,4,7,7,2
781,1992,Basic,Single,7500,1,10,17,18,8,26,2,2,3,4
782,1948,Graduate,Together,70666,0,398,40,367,119,122,4,4,7,1
783,1962,Graduate,Single,76624,1,411,106,147,54,115,10,7,5,1
784,1965,Graduate,Together,71613,0,426,49,127,111,21,2,10,8,1
785,1972,Graduate,Married,38988,3,164,24,103,12,3,1,6,5,7
786,1948,PhD,Together,76140,0,586,66,653,17,0,9,6,5,1
787,1966,Graduate,Single,37070,2,231,7,137,4,15,1,8,5,9
788,1956,Master,Together,55249,1,97,1,19,2,0,1,4,2,1
789,1959,Graduate,Together,24221,0,8,9,9,2,5,1,3,1,1
790,1950,PhD,Together,52157,1,189,2,29,3,2,2,5,3,2
791,1957,Graduate,Single,36864,1,204,5,39,17,0,2,4,5,3
792,1965,Graduate,Together,29672,2,9,1,3,0,4,0,3,0,1
793,1970,Master,Married,44159,1,167,2,62,24,13,1,6,4,4
794,1962,Graduate,Single,57967,1,229,7,137,4,0,2,8,4,5
795,1981,PhD,Married,87171,0,1001,44,107,58,44,7,11,6,1
796,1981,Graduate,Single,91065,0,822,114,108,179,137,9,9,7,1
797,1970,PhD,Married,59892,1,73,0,13,0,1,1,3,2,1
798,1968,Master,Together,32889,2,28,0,13,4,2,1,3,2,3
799,1978,Graduate,Married,17345,1,4,9,16,17,0,1,2,2,2
800,1982,Master,Single,6560,0,67,11,26,4,3,0,1,1,0
801,1960,Master,Single,98777,0,1000,19,711,125,115,6,9,4,0
802,1965,Graduate,Married,44375,1,213,5,28,7,7,1,6,4,1
803,1986,Master,Single,19485,2,6,0,4,0,0,0,2,1,1
804,1959,Graduate,Married,53154,1,129,0,21,0,1,1,4,3,1
805,1989,Secondary,Together,38683,1,46,35,69,84,41,1,6,4,6
806,1983,PhD,Single,87188,0,910,111,724,49,74,2,6,10,1
807,1963,Secondary,Single,39548,2,15,4,10,3,4,1,3,1,2
808,1970,PhD,Single,57642,1,580,6,58,8,0,6,6,7,3
809,1972,Graduate,Married,30467,1,1,3,8,2,5,0,2,1,1
810,1969,Graduate,Together,23228,1,13,2,18,6,1,0,3,2,2
811,1973,PhD,Together,20427,1,5,0,4,0,0,0,2,1,1
812,1960,Graduate,Together,70971,1,1001,17,572,93,125,11,5,11,7
813,1957,PhD,Together,6835,1,107,2,12,2,2,0,1,0,0
814,1944,Graduate,Married,80589,0,507,93,520,242,40,10,5,5,1
815,1979,Graduate,Single,60152,1,325,83,300,86,58,4,12,6,1
816,1958,PhD,Together,77863,0,881,38,319,16,25,5,10,4,1
817,1989,Graduate,Married,42387,1,235,0,235,19,4,1,7,8,5
818,1986,Secondary,Married,21955,1,5,1,7,17,14,1,3,2,2
819,1984,PhD,Married,18988,1,6,0,6,2,1,0,3,1,2
820,1978,Master,Together,85738,0,913,26,376,17,26,6,11,3,1
821,1954,Graduate,Together,32144,2,41,0,10,0,0,1,3,2,4
822,1983,Graduate,Single,39062,1,23,0,9,0,0,0,3,1,1
823,1970,PhD,Married,67353,1,702,17,151,0,8,6,12,5,5
824,1955,Graduate,Divorced,37244,2,18,2,10,0,0,1,2,1,1
825,1971,Graduate,Together,71819,1,1224,28,140,0,14,3,5,3,3
826,1980,Graduate,Married,47850,1,42,7,43,20,12,0,4,3,1
827,1966,Graduate,Together,43482,3,18,1,32,6,3,0,4,2,3
828,1960,Secondary,Single,32218,0,10,24,15,13,1,1,3,2,1
829,1971,Graduate,Married,52914,1,254,10,44,30,10,3,3,7,2
830,1971,PhD,Married,46463,2,163,2,40,8,11,1,6,3,7
831,1981,PhD,Single,36038,1,23,0,15,0,2,0,3,3,2
832,1954,Graduate,Together,75315,1,459,15,171,142,23,4,12,5,2
833,1965,PhD,Married,81051,0,1142,29,249,38,29,5,12,5,1
834,1969,Graduate,Together,68695,0,458,81,356,106,50,4,7,4,1
835,1956,Master,Married,63915,2,622,7,115,30,0,3,12,6,2
836,1970,Graduate,Together,67419,1,846,84,352,91,56,4,8,9,4
837,1961,Graduate,Married,16860,2,10,4,4,3,3,1,3,1,3
838,1983,Master,Single,89616,0,671,47,655,145,111,5,12,7,1
839,1975,Graduate,Single,55801,2,367,4,51,6,4,2,6,7,6
840,1995,Secondary,Single,83257,0,536,27,590,38,107,10,12,5,1
841,1976,Graduate,Divorced,31615,1,2,3,20,6,11,0,3,2,2
842,1962,Graduate,Married,65316,2,112,6,92,3,9,2,5,3,2
843,1964,Master,Married,64100,1,509,0,27,0,0,3,6,8,1
844,1961,Graduate,Single,46524,1,31,19,35,26,14,1,5,1,2
845,1972,Graduate,Married,30023,1,11,0,16,7,6,0,3,2,1
846,1957,Graduate,Single,50388,1,292,6,37,0,3,1,6,6,4
847,1989,Graduate,Single,30279,1,10,4,14,4,4,0,3,1,1
848,1962,Master,Married,58646,1,62,1,44,6,5,1,4,2,1
849,1970,PhD,Divorced,35682,1,23,0,8,6,2,1,3,1,1
850,1949,PhD,Married,69098,0,1315,22,780,145,0,8,9,7,1
851,1958,Graduate,Together,69096,1,247,49,159,7,82,2,10,5,1
852,1979,Graduate,Married,63777,2,457,5,106,15,17,1,6,11,8
853,1973,Master,Married,60432,1,365,3,15,4,3,2,5,7,5
854,1993,Graduate,Single,72354,0,315,26,473,220,12,10,6,2,1
855,1969,Master,Single,39858,1,15,20,25,2,7,0,4,2,1
856,1965,Master,Single,69882,0,292,127,635,132,127,7,9,3,1
857,1952,Graduate,Single,72228,0,631,28,491,30,14,7,8,6,1
858,1952,Graduate,Single,75127,0,203,35,305,46,17,11,5,2,1
859,1979,Graduate,Together,85693,1,386,172,183,185,132,5,11,9,2
860,1948,Master,Widow,78427,0,972,19,595,180,26,7,10,3,3
861,1955,Graduate,Together,38946,1,116,6,82,6,6,1,6,3,2
862,1980,Graduate,Married,82497,0,777,129,573,216,21,7,9,2,1
863,1960,Graduate,Together,13672,2,6,2,9,2,1,0,3,1,2
864,1981,Graduate,Single,41967,2,23,4,10,0,2,0,3,1,1
865,1966,Master,Together,33564,1,61,0,3,0,0,1,3,1,1
866,1991,Graduate,Married,51373,0,83,2,101,64,26,5,3,3,1
867,1965,Graduate,Together,47009,1,171,45,73,59,10,2,8,3,4
868,1970,Graduate,Together,22070,1,10,7,19,8,2,2,2,2,2
869,1969,Graduate,Married,75759,0,1394,22,708,89,91,7,9,9,1
870,1944,Master,Widow,45006,0,162,25,53,16,0,1,7,3,1
871,1970,PhD,Together,82072,0,889,55,685,168,92,2,13,3,1
872,1960,PhD,Married,65695,1,371,32,189,0,58,4,10,5,2
873,1959,Graduate,Together,71367,0,227,23,389,42,21,5,7,4,1
874,1966,PhD,Married,57705,1,383,0,53,6,4,1,6,8,3
875,1954,PhD,Single,74637,0,960,64,464,146,0,9,9,6,1
876,1967,Graduate,Divorced,70647,1,561,85,171,25,123,7,13,4,2
877,1973,Graduate,Married,27803,1,8,26,46,38,9,0,4,3,2
878,1951,Secondary,Married,78497,0,207,26,447,75,0,7,12,5,1
879,1978,Graduate,Together,42011,1,131,0,16,2,1,1,4,3,4
880,1992,Graduate,Together,75114,0,571,12,523,63,60,10,5,3,1
881,1990,Secondary,Single,51250,1,342,32,230,34,32,5,4,10,5
882,1981,Basic,Married,24480,1,4,19,9,28,25,0,4,3,3
883,1963,PhD,Married,81300,1,1004,12,145,32,12,3,5,10,3
884,1951,Master,Widow,73705,2,612,91,520,258,107,6,8,9,2
885,1977,Master,Married,78710,1,721,0,152,119,50,6,12,7,3
886,1958,Graduate,Married,51876,0,99,27,102,28,48,2,8,2,1
887,1962,PhD,Widow,82571,0,861,31,558,62,95,5,13,6,0
888,1958,Master,Married,80739,0,674,92,736,39,0,11,9,3,1
889,1953,Graduate,Married,50725,1,443,10,75,0,10,1,8,8,4
890,1976,Graduate,Married,7500,1,7,0,12,13,7,1,2,4,5
891,1949,Master,Divorced,35416,0,248,3,81,4,3,1,5,7,3
892,1964,Graduate,Single,61839,0,1000,155,379,224,17,8,4,4,1
893,1966,Graduate,Single,34704,1,29,0,5,0,1,0,3,1,1
894,1991,Secondary,Together,20193,0,8,8,22,24,11,1,4,1,1
895,1979,PhD,Married,31605,1,74,0,42,2,1,1,4,2,2
896,1950,PhD,Together,50616,1,30,2,25,0,1,1,4,1,1
897,1974,Secondary,Married,65463,1,391,32,70,21,32,2,9,6,2
898,1969,PhD,Married,56242,1,689,8,167,11,8,4,11,8,5
899,1966,Master,Married,33585,1,30,11,33,13,6,0,4,2,1
900,1952,Secondary,Divorced,63998,0,176,29,818,0,33,6,11,7,1
901,1952,Master,Together,40442,2,45,12,52,25,22,1,4,3,4
902,1965,Secondary,Married,70924,0,635,114,254,132,152,6,7,6,1
903,1977,Master,Together,57954,2,456,4,24,0,0,2,6,8,7
904,1970,PhD,Together,77622,2,520,7,154,19,0,3,11,6,2
905,1977,Graduate,Married,75330,2,555,82,257,93,61,3,12,10,4
906,1953,Graduate,Together,80812,0,769,22,500,210,143,8,5,4,1
907,1958,Graduate,Divorced,79803,1,574,8,216,21,16,3,5,4,1
908,1980,Graduate,Together,44964,2,19,1,17,2,0,0,3,1,1
909,1952,Graduate,Divorced,49638,1,18,10,3,3,5,0,3,1,1
910,1956,Graduate,Married,15759,0,1,2,5,6,0,0,2,1,1
911,1956,Graduate,Divorced,22304,0,3,2,7,0,4,0,2,1,1
912,1956,PhD,Single,54998,1,154,22,202,39,30,2,9,4,5
913,1954,Graduate,Divorced,79865,1,71,99,278,185,121,10,5,5,1
914,1979,Graduate,Married,27244,1,6,5,17,3,24,2,2,2,2
915,1965,PhD,Married,71322,1,753,43,226,69,10,5,13,8,2
916,1978,Graduate,Together,22775,1,5,1,8,0,0,0,2,1,1
917,1974,PhD,Together,30351,1,14,0,24,3,3,0,2,3,1
918,1957,Secondary,Married,82347,0,556,54,845,202,133,7,10,7,1
919,1970,Graduate,Single,24206,1,7,2,8,3,2,0,3,1,1
920,1977,Graduate,Married,34380,1,72,7,58,13,1,1,3,4,4
921,1974,Master,Divorced,53367,2,229,7,140,10,3,1,8,5,7
922,1968,PhD,Single,38236,2,58,0,18,2,0,0,4,3,4
923,1973,Master,Married,38576,1,34,0,7,0,0,0,3,1,1
924,1976,PhD,Divorced,55412,2,10,5,28,11,1,0,3,2,1
925,1967,Graduate,Divorced,68743,0,1132,134,384,175,134,5,13,11,1
926,1956,Secondary,Married,53230,1,176,72,98,136,21,2,12,5,4
927,1971,Graduate,Together,16626,2,8,3,22,21,1,0,3,3,3
928,1973,Secondary,Married,46094,2,12,2,20,3,2,0,3,1,1
929,1946,Graduate,Together,37760,0,84,5,38,150,12,1,6,4,2
930,1953,Graduate,Married,70503,0,1379,33,216,0,33,4,9,2,1
931,1953,Graduate,Widow,53653,0,815,10,239,28,10,4,12,10,2
932,1966,Secondary,Single,89572,0,606,24,974,197,194,7,9,7,1
933,1956,Graduate,Married,48195,2,106,27,68,52,7,2,5,4,6
934,1974,Master,Together,21255,1,29,0,25,2,2,1,4,2,4
935,1958,PhD,Together,74250,0,680,11,392,75,0,11,4,2,1
936,1960,PhD,Together,38201,1,233,0,23,0,0,1,5,5,4
937,1970,Graduate,Single,83273,3,433,89,650,16,102,6,9,4,10
938,1948,PhD,Married,34469,2,19,6,20,0,5,1,4,1,3
939,1954,Graduate,Married,59111,0,524,0,134,28,28,1,8,11,1
940,1975,Master,Together,17459,1,6,4,16,3,10,1,2,3,3
941,1943,Master,Single,77598,0,1193,33,281,129,66,5,13,7,1
942,1962,Graduate,Together,76081,0,292,30,415,63,33,5,4,4,1
943,1988,Graduate,Single,25008,1,2,8,8,6,1,0,3,1,2
944,1989,Graduate,Married,28691,1,5,4,13,8,0,0,3,1,1
945,1976,Master,Married,34529,1,68,6,38,3,6,2,3,2,2
946,1979,Graduate,Single,48526,1,23,17,23,43,20,1,4,2,1
947,1946,Graduate,Married,18100,0,3,1,2,4,3,0,3,0,1
948,1974,Graduate,Together,83145,0,777,35,731,39,137,9,11,5,1
949,1984,PhD,Single,42710,1,252,3,42,4,3,5,3,4,2
950,1951,Basic,Married,26997,0,7,23,78,133,49,2,5,4,2
951,1958,Graduate,Divorced,78331,1,756,138,354,160,169,6,7,10,2
952,1971,PhD,Single,42767,2,20,6,43,19,5,1,2,3,1
953,1961,Master,Married,61794,1,264,47,188,54,47,4,10,4,2
954,1963,PhD,Married,54072,2,35,0,4,0,0,0,2,2,1
955,1977,Graduate,Single,28769,1,41,5,129,10,3,1,4,4,3
956,1994,Graduate,Together,80134,0,966,26,282,52,26,7,11,2,1
957,1971,Graduate,Single,22804,1,14,1,7,2,1,0,2,2,1
958,1986,Master,Married,28072,1,30,0,10,2,0,0,3,1,1
959,1979,Graduate,Together,77298,1,425,115,292,23,35,6,11,6,1
960,1993,Graduate,Single,70515,0,420,0,452,182,64,6,4,6,1
961,1967,Secondary,Together,47821,2,9,0,16,6,6,0,3,1,1
962,1975,Graduate,Widow,58330,1,445,53,213,104,98,4,13,6,1
963,1949,PhD,Widow,51569,1,380,0,47,6,0,1,7,7,4
964,1974,PhD,Divorced,25509,1,40,3,30,10,7,0,3,3,3
965,1971,PhD,Divorced,86979,0,584,100,835,65,83,5,5,5,1
966,1965,Master,Married,74806,1,670,9,249,0,28,4,5,5,2
967,1963,Secondary,Married,32632,0,63,151,137,153,19,4,8,4,2
968,1982,Secondary,Together,66664,0,398,96,447,220,96,7,6,5,1
969,1977,Graduate,Single,56628,1,479,5,82,7,17,6,5,7,2
970,1951,Master,Married,27450,0,37,12,23,8,11,1,3,2,1
971,1960,Graduate,Married,79530,0,333,0,815,129,42,10,11,4,1
972,1973,Graduate,Single,65333,1,654,7,92,0,15,4,8,9,7
973,1950,Graduate,Together,28320,1,19,1,14,3,2,0,3,1,1
974,1985,PhD,Married,64355,1,1047,0,140,67,38,3,12,4,2
975,1948,Graduate,Single,90842,0,774,70,118,182,187,9,13,4,1
976,1979,Basic,Single,20194,1,0,4,7,11,10,0,3,2,2
977,1972,Master,Divorced,37760,1,26,3,13,2,10,0,3,2,1
978,1970,Secondary,Married,62466,1,129,129,259,168,121,3,12,6,5
979,1976,Master,Together,65104,1,738,0,232,13,20,5,7,3,2
980,1988,Graduate,Together,29604,1,7,6,13,7,6,0,3,1,1
981,1974,Master,Married,58494,1,298,7,68,4,0,2,6,6,2
982,1968,PhD,Divorced,50616,1,128,0,16,0,1,0,4,4,2
983,1982,Basic,Single,24367,1,2,4,2,0,11,0,2,1,1
984,1995,Graduate,Single,34824,0,4,2,11,2,0,0,2,1,1
985,1955,Graduate,Married,74268,0,199,66,315,97,174,3,5,4,1
986,1955,PhD,Married,58482,1,576,7,115,19,7,4,9,7,2
987,1971,Graduate,Together,74538,0,380,98,733,110,112,8,5,8,1
988,1963,PhD,Married,53378,2,489,6,152,8,6,4,6,9,10
989,1954,Graduate,Divorced,50002,1,443,5,71,21,16,2,7,8,2
990,1957,Graduate,Married,52852,1,714,8,99,11,0,7,5,10,4
991,1966,Master,Together,45903,1,33,8,10,2,10,1,3,2,2
992,1969,PhD,Together,54132,1,30,1,8,0,0,0,3,1,1
993,1974,Secondary,Married,45894,2,27,2,7,0,2,0,3,1,1
994,1967,Secondary,Together,30753,2,12,5,25,0,9,1,3,1,2
995,1979,Graduate,Together,77568,1,1230,0,396,232,178,2,8,10,1
996,1950,PhD,Single,48767,3,28,1,21,3,0,1,3,2,3
997,1955,PhD,Married,38725,2,31,0,6,2,1,0,4,1,2
998,1969,Graduate,Divorced,23910,1,16,12,18,7,1,0,3,2,1
999,1956,Master,Together,54603,2,145,13,46,17,2,2,4,4,6
1000,1977,Secondary,Married,31056,1,5,10,13,3,8,0,3,1,1
1001,1970,Graduate,Divorced,33986,1,16,2,18,2,1,0,3,1,1
1002,1960,Graduate,Married,29440,2,17,8,14,10,4,0,4,1,2
1003,1965,Master,Married,53843,1,378,0,88,19,4,5,3,8,4
1004,1964,Graduate,Married,82224,0,307,26,360,138,31,9,5,6,1
1005,1976,PhD,Single,42473,2,93,1,21,0,4,1,4,2,3
1006,1987,Master,Single,41020,0,112,1,54,7,7,2,4,3,1
1007,1973,Graduate,Married,34961,1,45,2,26,4,1,1,3,3,3
1008,1975,Secondary,Single,41658,2,8,4,12,15,4,1,2,1,2
1009,1964,PhD,Married,41551,2,220,0,33,3,0,1,5,5,5
1010,1989,Graduate,Single,18358,1,6,8,19,16,4,0,4,3,3
1011,1970,PhD,Married,69084,1,1181,107,199,39,30,3,13,7,2
1012,1973,Master,Married,38961,1,19,7,19,0,1,1,2,2,1
1013,1986,Graduate,Together,78394,0,298,27,697,216,24,6,5,4,1
1014,1974,PhD,Together,79632,0,471,0,510,99,21,4,9,6,1
1015,1974,PhD,Single,30899,1,24,0,8,0,0,0,3,1,2
1016,1971,Master,Married,38196,2,30,0,11,0,0,0,4,2,3
1017,1976,Master,Together,21024,0,36,4,18,6,2,0,4,2,1
1018,1973,Master,Divorced,44051,2,79,7,58,6,3,1,4,3,4
1019,1981,PhD,Married,58293,1,173,43,118,46,27,3,6,5,5
1020,1949,PhD,Divorced,35946,2,8,0,3,0,0,0,3,0,1
1021,1977,Graduate,Married,74985,0,587,51,898,247,0,6,7,3,1
1022,1960,Secondary,Married,82504,0,362,50,431,134,35,6,7,3,1
1023,1962,Secondary,Divorced,81975,1,983,76,184,180,138,3,4,6,1
1024,1976,Basic,Divorced,9548,1,0,1,3,10,6,0,3,1,2
1025,1973,Secondary,Married,23559,1,25,5,19,7,0,0,3,3,3
1026,1991,Master,Single,90638,0,1156,120,915,94,144,4,10,3,1
1027,1973,PhD,Married,32644,1,239,3,141,0,7,1,6,7,4
1028,1989,Graduate,Single,21474,1,6,16,24,11,0,1,2,3,2
1029,1979,Graduate,Married,2447,1,1,1,1725,1,1,28,0,0,15
1030,1953,Graduate,Together,94384,0,1111,24,790,160,45,8,5,5,0
1031,1964,Graduate,Married,48920,2,238,17,68,8,10,2,5,6,3
1032,1977,Graduate,Single,23763,1,22,0,6,6,2,0,3,1,1
1033,1979,Basic,Single,16014,2,3,9,4,7,8,1,4,1,4
1034,1988,Graduate,Married,68487,0,758,12,385,33,89,7,13,9,1
1035,1954,Graduate,Together,53103,1,729,17,133,11,0,6,7,10,5
1036,1983,Graduate,Together,28359,1,6,0,5,2,1,0,2,1,1
1037,1948,PhD,Married,45579,1,145,1,33,2,1,1,4,4,1
1038,1956,Graduate,Together,54450,2,454,0,171,8,19,2,8,9,12
1039,1965,PhD,Widow,54111,1,267,6,54,8,3,2,6,5,2
1040,1956,Master,Married,90226,0,1083,108,649,253,151,7,12,4,1
1041,1979,Master,Married,45057,1,37,0,7,3,0,0,3,2,1
1042,1971,PhD,Married,32011,1,99,0,15,2,1,1,4,2,3
1043,1974,Graduate,Married,67445,1,757,80,217,29,80,6,12,9,5
1044,1970,Graduate,Single,43020,1,45,7,99,4,25,1,4,4,3
1045,1951,Master,Together,47352,1,172,12,112,8,0,1,5,6,4
1046,1976,Graduate,Married,39356,2,15,0,2,0,0,0,2,1,1
1047,1977,Master,Married,43263,1,262,6,61,0,10,2,6,5,3
1048,1977,Master,Married,55842,1,451,0,39,0,4,1,8,7,1
1049,1956,Graduate,Together,64090,1,316,58,161,76,51,9,4,6,1
1050,1957,Graduate,Single,58138,0,635,88,546,172,88,10,4,8,3
1051,1987,Graduate,Together,22434,1,4,12,11,3,13,0,3,2,2
1052,1975,Master,Married,47808,1,123,1,26,2,0,2,3,3,2
1053,1966,Graduate,Together,57811,1,545,7,114,37,21,2,11,7,5
1054,1970,Graduate,Single,67384,1,957,40,175,158,53,8,5,7,2
1055,1972,PhD,Married,78075,0,572,8,259,34,35,5,5,3,1
1056,1982,PhD,Married,84169,0,1478,19,403,0,19,6,6,7,1
1057,1963,Master,Divorced,48721,2,81,18,113,47,13,2,5,4,6
1058,1954,PhD,Single,90933,0,1020,31,430,62,63,6,4,4,1
1059,1974,Graduate,Married,60093,1,502,12,109,16,6,2,10,7,2
1060,1969,Graduate,Together,62882,1,509,133,497,78,24,5,6,7,2
1061,1983,Graduate,Together,43776,1,8,0,9,2,1,0,2,1,1
1062,1972,Graduate,Single,21359,1,12,2,17,6,1,0,3,2,2
1063,1964,Graduate,Divorced,51983,1,631,0,115,10,7,2,10,9,3
1064,1956,Secondary,Together,58821,1,513,14,154,19,0,2,9,9,1
1065,1989,PhD,Together,66973,0,466,22,432,147,113,7,12,8,1
1066,1965,Graduate,Together,33456,2,7,3,10,8,1,0,3,1,2
1067,1969,Graduate,Married,48752,2,73,57,100,71,15,1,5,6,5
1068,1980,Master,Married,31535,1,15,4,13,0,0,1,2,1,1
1069,1964,PhD,Single,61798,0,338,4,89,11,8,2,9,4,1
1070,1982,Graduate,Together,61416,0,848,154,323,201,61,3,10,10,1
1071,1991,Graduate,Single,49767,0,202,47,197,55,42,4,8,5,1
1072,1980,Graduate,Married,50183,2,97,12,84,13,10,1,6,3,7
1073,1963,Graduate,Single,30983,0,51,4,50,12,1,0,3,4,1
1074,1979,Master,Together,62499,1,140,4,61,0,13,1,6,3,2
1075,1957,Graduate,Together,42213,1,309,3,24,4,3,1,7,5,2
1076,1972,Graduate,Married,36026,3,20,4,10,6,4,0,3,2,2
1077,1964,PhD,Married,60896,1,1013,30,399,60,46,10,4,9,3
1078,1960,PhD,Divorced,50611,1,459,0,24,6,0,5,7,4,6
1079,1984,Secondary,Married,35684,1,10,4,7,0,6,0,3,1,1
1080,1953,PhD,Single,64108,1,948,10,86,13,21,9,11,6,4
1081,1971,Master,Divorced,44635,2,56,0,9,0,0,0,3,2,2
1082,1980,Graduate,Divorced,81702,0,563,50,774,28,31,7,12,7,1
1083,1989,Basic,Married,25443,1,1,4,3,8,9,0,3,1,1
1084,1970,Graduate,Together,40548,1,110,0,5,2,0,1,4,2,2
1085,1950,Graduate,Married,80763,0,674,168,108,192,42,11,6,5,1
1086,1956,PhD,Married,84117,0,611,76,749,59,45,10,6,7,1
1087,1976,PhD,Together,49187,1,81,1,31,2,1,1,5,1,1
1088,1983,Master,Single,31788,1,16,7,23,0,8,0,4,3,3
1089,1983,Master,Married,27100,1,12,0,13,2,0,0,3,1,1
1090,1974,PhD,Married,61917,2,46,4,36,2,2,0,4,2,1
1091,1970,Secondary,Divorced,25959,2,4,2,12,7,5,2,2,1,2
1092,1965,Graduate,Married,59754,1,115,27,44,4,146,2,6,5,3
1093,1973,Secondary,Divorced,31163,1,2,3,10,11,2,0,3,1,1
1094,1983,Graduate,Together,39453,1,46,0,7,0,0,0,3,2,2
1095,1982,Graduate,Married,65169,0,1074,0,69,0,0,4,13,10,1
1096,1972,Master,Together,49854,1,123,17,171,39,0,2,5,6,5
1097,1982,Secondary,Together,58582,1,402,35,106,101,77,2,9,9,2
1098,1972,Graduate,Together,46053,1,56,10,92,19,7,2,4,3,3
1099,1985,Graduate,Married,31158,1,25,6,16,20,0,0,3,2,2
1100,1974,PhD,Married,46374,1,408,0,21,0,0,1,7,7,3
1101,1963,Graduate,Married,77437,0,560,21,442,29,44,5,13,4,1
1102,1972,Basic,Married,14188,0,2,7,11,16,12,0,4,2,1
1103,1970,PhD,Single,32303,1,35,0,2,0,0,0,4,1,2
1104,1972,PhD,Together,34578,3,7,0,1,0,0,0,2,1,1
1105,1958,Graduate,Divorced,35246,2,36,0,12,2,2,1,3,3,4
1106,1972,PhD,Single,86857,0,899,102,838,133,102,6,10,5,1
1107,1967,Graduate,Married,77870,1,1017,50,500,65,50,5,5,5,3
1108,1960,Secondary,Together,92556,0,493,183,352,184,23,5,13,3,0
1109,1976,PhD,Divorced,14849,1,21,2,28,3,2,0,4,2,3
1110,1967,Graduate,Married,51479,2,247,8,160,6,8,3,6,6,7
1111,1966,Graduate,Together,60894,1,606,7,155,10,0,3,8,10,5
1112,1977,Graduate,Divorced,40246,1,2,1,6,2,1,0,2,1,1
1113,1969,Graduate,Divorced,69901,1,312,21,206,102,92,3,10,7,3
1114,1970,Graduate,Together,81205,0,724,74,929,97,55,6,7,5,1
1115,1953,Graduate,Married,47703,1,359,0,134,13,26,3,8,6,4
1116,1974,Graduate,Together,48186,1,97,3,66,12,7,1,4,4,3
1117,1980,Graduate,Married,19107,1,2,4,9,10,5,0,3,1,2
1118,1979,Master,Together,24401,0,73,28,217,10,24,1,6,6,3
1119,1951,Graduate,Single,60689,1,240,90,216,63,6,4,10,4,4
1120,1972,Graduate,Married,77981,1,138,120,204,16,126,4,7,7,3
1121,1980,Graduate,Married,34968,1,158,6,45,8,2,2,5,3,7
1122,1987,Master,Married,73395,0,272,7,80,20,7,4,6,4,1
1123,1950,PhD,Together,5648,2,28,0,6,1,1,0,0,1,1
1124,1952,Master,Married,33444,2,8,0,8,0,0,0,2,1,1
1125,1964,Graduate,Married,58512,1,895,10,101,13,0,4,8,3,5
1126,1974,PhD,Married,40344,1,210,0,6,0,0,1,5,4,2
1127,1973,PhD,Married,37401,1,19,3,19,3,1,0,3,2,2
1128,1956,Master,Single,55284,1,547,7,140,0,7,5,8,7,3
1129,1971,Graduate,Together,38232,2,43,5,28,7,6,1,3,3,4
1130,1975,Graduate,Single,57338,1,143,6,52,11,8,1,5,4,2
1131,1972,Master,Divorced,42618,1,76,14,74,13,5,0,4,5,2
1132,1962,Graduate,Together,72025,0,833,33,549,151,133,3,8,4,1
1133,1948,PhD,Divorced,45072,3,144,2,99,7,2,1,4,6,5
1134,1968,Graduate,Single,35893,2,158,0,23,0,0,1,5,3,6
1135,1978,Graduate,Married,42693,1,8,4,20,6,3,0,3,1,1
1136,1974,PhD,Married,45207,2,203,0,10,0,0,1,6,3,5
1137,1952,Graduate,Together,33402,2,26,2,19,10,5,1,3,2,3
1138,1967,PhD,Single,40304,1,37,0,17,0,0,0,3,2,1
1139,1965,Master,Single,33168,1,80,1,37,0,1,1,4,2,3
1140,1989,Secondary,Together,10404,1,2,2,11,10,6,0,4,1,2
1141,1959,Secondary,Divorced,78353,1,752,122,476,39,153,2,11,10,1
1142,1949,Master,Married,48150,1,173,2,39,3,2,1,4,5,3
1143,1962,Graduate,Divorced,39552,2,165,3,147,4,24,2,5,6,7
1144,1979,Graduate,Married,56775,1,614,35,160,58,35,8,10,5,2
1145,1971,PhD,Married,37126,1,45,3,9,4,4,2,2,1,1
1146,1959,Master,Together,89120,0,1168,92,408,72,129,6,7,5,1
1147,1982,Master,Together,73450,0,1142,51,415,90,69,8,11,7,1
1148,1975,Secondary,Married,57036,1,1171,43,219,19,14,3,13,6,4
1149,1979,Graduate,Married,71626,0,546,72,376,94,145,5,8,5,1
1150,1953,PhD,Together,64504,3,986,36,168,16,0,3,4,11,7
1151,1970,Master,Single,75345,0,918,57,842,99,38,8,6,5,1
1152,1955,Graduate,Married,80395,0,445,25,706,80,76,5,12,6,1
1153,1959,Graduate,Single,50664,2,313,8,104,6,4,1,6,8,9
1154,1948,Graduate,Married,42192,0,40,15,15,17,6,1,3,2,1
1155,1968,Secondary,Married,48985,1,19,13,18,10,7,1,3,1,1
1156,1963,PhD,Single,36736,2,10,0,3,0,0,0,2,1,1
1157,1980,Secondary,Married,70829,2,141,70,106,72,19,2,8,4,2
1158,1972,Master,Single,49494,1,191,9,97,0,6,1,5,6,2
